CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Charlotte-Concord-Gastonia, NC-SC",16740,12/03/2022,41.0,Good,Ozone,37-179-0003,9
"Lancaster, PA",29540,21/04/2022,49.0,Good,PM2.5,42-071-0012,2
"Logan, UT-ID",30860,15/06/2022,67.0,Moderate,,49-005-0007,2
"Sierra Vista-Douglas, AZ",43420,16/02/2022,45.0,Good,Ozone,04-003-8001,3
"Joplin, MO",27900,19/01/2022,13.0,Good,PM10,29-097-0003,1
"Minot, ND",33500,21/05/2022,36.0,Good,Ozone,38-101-0003,1
"Rock Springs, WY",40540,5/04/2022,157.0,Unhealthy,PM10,56-037-0868,20
"Madera, CA",31460,4/04/2022,39.0,Good,Ozone,06-039-2010,1
"Clinton, IA",17540,18/05/2022,54.0,Moderate,PM2.5,19-045-0019,2
"Akron, OH",10420,25/01/2022,38.0,Good,PM2.5,39-153-0017,1
"Lafayette-West Lafayette, IN",29200,20/01/2022,30.0,Good,Ozone,18-015-0002,2
"Bismarck, ND",13900,27/06/2022,60.0,Moderate,PM2.5,38-015-0003,2
"Kinston, NC",28820,12/03/2022,39.0,Good,Ozone,37-107-0004,1
"Bloomington, IN",14020,14/04/2022,17.0,Good,PM2.5,18-105-0003,2
"Hot Springs, AR",26300,19/07/2022,56.0,Moderate,PM2.5,05-051-0003,1
"Muncie, IN",34620,23/07/2022,44.0,Good,Ozone,18-035-0010,1
"Coeur d'Alene, ID",17660,23/04/2022,10.0,Good,PM2.5,16-055-0015,1
"Bangor, ME",12620,6/04/2022,45.0,Good,Ozone,23-019-4008,2
"Ponce, PR",38660,19/06/2022,78.0,Moderate,PM2.5,72-113-0004,1
"Durham-Chapel Hill, NC",20500,23/06/2022,54.0,Moderate,Ozone,37-145-0003,2
"Panama City, FL",37460,1/05/2022,35.0,Good,,12-005-0006,1
"Des Moines-West Des Moines, IA",19780,28/10/2022,43.0,Good,PM2.5,19-153-0030,2
"Platteville, WI",38420,21/01/2022,51.0,Moderate,PM2.5,55-043-0009,1
"Greeley, CO",24540,16/01/2022,38.0,Good,PM2.5,08-123-0006,3
"Utica-Rome, NY",46540,3/06/2022,13.0,Good,PM2.5,36-065-2001,1
"Sayre, PA",42380,21/09/2022,4.0,Good,NO2,42-015-0011,1
"Somerset, KY",43700,22/05/2022,35.0,Good,,21-199-0003,1
"Spartanburg, SC",43900,27/08/2022,44.0,Good,Ozone,45-083-0009,2
"Gettysburg, PA",23900,20/09/2022,2.0,Good,,42-001-0001,1
"Cheyenne, WY",16940,15/02/2022,45.0,Good,Ozone,56-021-0100,1
"Sheboygan, WI",43100,18/04/2022,33.0,Good,Ozone,55-117-0009,2
"Whitewater-Elkhorn, WI",48580,9/05/2022,44.0,Good,Ozone,55-127-0006,1
"Baton Rouge, LA",12940,19/08/2022,32.0,Good,PM2.5,22-063-0002,9
"Anchorage, AK",11260,25/03/2022,18.0,Good,,02-020-0018,4
"Elizabethtown-Fort Knox, KY",21060,23/03/2022,37.0,Good,Ozone,21-093-0006,1
"Tucson, AZ",46060,6/01/2022,45.0,Good,PM2.5,04-019-1113,15
"Hilo, HI",25900,26/05/2022,20.0,Good,PM2.5,15-001-1012,7
"Harrisburg-Carlisle, PA",25420,12/05/2022,42.0,Good,,42-043-1100,3
"Urban Honolulu, HI",46520,11/04/2022,29.0,Good,PM2.5,15-003-0010,3
"Syracuse, NY",45060,23/07/2022,48.0,Good,Ozone,36-067-1015,2
"Des Moines-West Des Moines, IA",19780,14/09/2022,51.0,Moderate,Ozone,19-153-1579,3
"Summerville, GA",44900,29/03/2022,44.0,Good,Ozone,13-055-0001,1
"Sheridan, WY",43260,19/02/2022,41.0,Good,Ozone,56-033-0004,2
"Portland-South Portland, ME",38860,26/02/2022,44.0,Good,,23-031-0040,4
"Aberdeen, SD",10100,5/02/2022,20.0,Good,PM2.5,46-013-0004,1
"Grand Rapids-Wyoming, MI",24340,10/04/2022,44.0,Good,Ozone,26-139-0005,3
"Pueblo, CO",39380,5/10/2022,18.0,Good,PM2.5,08-101-0015,1
"Palm Bay-Melbourne-Titusville, FL",37340,2/02/2022,46.0,Good,Ozone,12-009-4001,2
"The Dalles, OR",45520,8/06/2022,11.0,Good,,41-065-0007,1
"New York-Newark-Jersey City, NY-NJ-PA",35620,15/06/2022,74.0,Moderate,Ozone,34-027-3001,39
"Michigan City-La Porte, IN",33140,14/02/2022,30.0,Good,Ozone,18-091-0010,2
"Harrisonburg, VA",25500,23/02/2022,25.0,Good,NO2,51-165-0003,1
"Hobbs, NM",26020,19/01/2022,36.0,Good,,35-025-0008,1
"Fayetteville, NC",22180,25/08/2022,37.0,Good,Ozone,37-051-0010,2
"Detroit-Warren-Dearborn, MI",19820,6/02/2022,91.0,Moderate,PM2.5,26-163-0015,13
"Cedar Rapids, IA",16300,28/01/2022,37.0,Good,,19-113-0040,1
"Rome, GA",40660,27/05/2022,13.0,Good,PM2.5,13-115-0003,1
"Laredo, TX",29700,19/01/2022,46.0,Good,PM2.5,48-479-0313,1
"Elko, NV",21220,5/06/2022,10.0,Good,PM10,32-007-0005,1
"Durango, CO",20420,19/02/2022,41.0,Good,Ozone,08-067-7003,2
"Michigan City-La Porte, IN",33140,1/01/2022,30.0,Good,Ozone,18-091-0005,2
"Eagle Pass, TX",20580,21/08/2022,19.0,Good,PM2.5,48-323-0004,1
"Minot, ND",33500,20/09/2022,27.0,Good,,38-101-0003,1
"Platteville, WI",38420,20/02/2022,30.0,Good,PM2.5,55-043-0009,1
"Prineville, OR",39260,28/06/2022,15.0,Good,PM2.5,41-013-0100,1
"Homosassa Springs, FL",26140,23/02/2022,33.0,Good,PM2.5,12-017-0006,1
"Cedar Rapids, IA",16300,17/04/2022,,Good,Ozone,19-113-0033,2
"Oklahoma City, OK",36420,26/08/2022,54.0,Moderate,Ozone,40-109-1037,6
"Tyler, TX",46340,13/04/2022,36.0,Good,Ozone,48-423-0007,1
"Fresno, CA",23420,6/05/2022,43.0,Good,Ozone,06-019-4001,5
"Bennington, VT",13540,27/02/2022,28.0,Good,PM2.5,50-003-0004,1
"Lima, OH",30620,13/06/2022,46.0,Good,Ozone,39-003-0009,1
"Pocatello, ID",38540,27/06/2022,48.0,Good,Ozone,16-005-0015,2
"Cape Coral-Fort Myers, FL",15980,25/05/2022,34.0,Good,Ozone,12-071-0005,2
"Somerset, KY",43700,3/03/2022,37.0,Good,PM2.5,21-199-0003,1
"Lawton, OK",30020,10/06/2022,51.0,Moderate,Ozone,40-031-0651,1
"Winston-Salem, NC",49180,24/04/2022,48.0,Good,Ozone,37-067-0022,3
"Davenport-Moline-Rock Island, IA-IL",19340,25/03/2022,36.0,Good,Ozone,19-163-0014,3
"Augusta-Waterville, ME",12300,24/07/2022,58.0,Moderate,Ozone,23-011-2001,1
"Kinston, NC",28820,2/09/2022,38.0,Good,Ozone,37-107-0004,1
"Morehead City, NC",33980,15/03/2022,42.0,Good,Ozone,37-031-9991,1
"Knoxville, TN",28940,24/06/2022,80.0,Moderate,Ozone,47-001-0101,9
"Pensacola-Ferry Pass-Brent, FL",37860,9/06/2022,33.0,Good,Ozone,12-113-0015,3
"Iowa City, IA",26980,19/02/2022,20.0,Good,PM2.5,19-103-2001,1
"Pensacola-Ferry Pass-Brent, FL",37860,25/03/2022,64.0,Moderate,Ozone,12-033-0018,3
"Fallon, NV",21980,8/05/2022,46.0,Good,Ozone,32-001-0002,1
"Cedar Rapids, IA",16300,4/06/2022,42.0,Good,Ozone,19-113-0040,2
